"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11"
"California",1,,,,,,,,,1195,1200,1215.5,1195,1200,1200,1200,1210,1200,1220,1250,1250,1195,1150,1150,1195,1200,1265,1250,1245,1250,1250,1290,1315,1310,1325,1299,1270,1299,1330,1298,1295,1255,1251,1250,1300,1345,1250,1390,1400,1345,1320,1383,1495,1495,1495,1525,1573,1600,1605,1625,1620,1665,1670,1679,1698,1700,1705,1735,1750,1750,1795,1795,1830,1860,1889,1855,1850,1845,1895,1800,1850,1795,1795,1795,1865,1900,1924,1950,1950,1950,1950,1949,1945,1950,1945,1928,1925,1950,1950,1975,2020,2035,2050,2075,2050,2055,2087,2075,2057,2080,2095,2100,2106,2124,2150,2150,2150,2109,2100
"Texas",2,797.5,795,882.5,890,907.5,892.5,800,750,795,825,794.5,794,800,799,800,798,820,821.5,756,780,730.5,722,740,755,793,810,785,795,800,795,809,825,785,825,847,830,829,825,850,849,865,875,854,928,946,968,945,959,937.5,950,971,935,941,926.5,919,920,930,949,936,929,928,915,944,949,950,959,965,978,977,1042,1039,1050,1025,1064,1040,1034,1026,1012,1017,1041,993,979,969,1025,1045,1059,1075,1095,1095,1092,1100,1100,1100,1115,1119,1119,1155,1159,1161,1166,1167.5,1180,1180,1175,1189,1186,1180,1183,1199,1205.5,1202,1209,1213,1204,1200,1199,1208,1200
"New York",3,,,,,,,,,,,,,,,,,,,,2250,2250,2300,2300,2300,2360,2400,2426,2468.5,2450,2495,2500,2500,2500,2550,2550,2500,2600,2595,2600,2645,2650,2595,2600,2650,2690,2600,2600,2555,2595,2595,2595,2600,2600,2200,2195,2200,2190,2190,2145,2100,2195,2200,2265,2300,2200,2155,2200,2200,2195,2150,2100,2100,2100,2150,2199,2200,2250,2250,2250,2300,2400,2350,2100,2150,2150,2150,2195,2200,2200,2200,2200,2195,2125,2100,2055,2077,2099,2100,2190,2200,2200,2200,2199,2195,2100,2095,2050,2053.5,2050,2100,2150,2195,2200,2200,2200,2200,2150,2100
"Florida",4,,,,,,,,,,,,,1199,1200,1200,1150,1149.5,1100,1100,1100,1035,999,1000,975,999,1000,987,990,1000,1000,975,971,950,950,925,900,905,928,929,940,950,1050,1030,1050,1100,1100,1095,1035,1000,999,985,1035,1035,1050,1065,1100,1100,1050,1050,1045,1100,1140,1100,1175,1200,1300,1350,1325,1350,1321,1315.5,1345,1369,1385,1348,1336,1300,1295,1300,1314,1300,1375,1275,1306,1335,1350,1350,1350,1350,1350,1387,1375,1365,1382,1388,1386,1395,1400,1409,1405,1415.5,1430,1425,1427,1445,1425,1410,1400,1409,1405,1420,1429,1433,1429,1425,1408,1400,1395
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1435,1557,1358,1355,1395,1361.5,1350,1343,1495,1566.5,1667,1584,1500,1611,1450,1400,1400,1395,1380,1375,1369.5,1348,1381.5,1400,1350,1390,1385,1395,1395,1395,1395,1395,1444,1453,1475,1436,1425,1445,1450,1452,1458,1465,1489.5,1490,1475,1450,1485,1495,1530,1550,1563,1520,1510,1495,1476,1451,1463,1400,1395
"Pennsylvania",6,,,,,,,875,907.5,895,935,900,900,850,860,850,850,800,795,800,799,800,845,825,850,875,900,915,900,900,895,875,860,871,895,835,825,850,850,875,950,905,875,832,810,800,830,850,815,815,825,850,900,900,900,900,890,890,850,860,860,875,900,950,950,925,905,925,900,895,950,920,975,965,975,1000,1020,995,995,979.5,975,984.5,975,957,955.5,975,1020,1039,1100,1100,1100,1100,1090,1065,1085,1085,1079,1065,1131,1160,1200,1195,1185,1155,1147.5,1160,1175,1170,1165,1175,1212,1244,1208,1250,1250,1231,1200,1200,1212
"Ohio",7,,,,,,,,,502.5,500,500,525,525,527,589,592,592,550,529,525,515,529,545,549,570,550,536,543.5,540,539,550,550,549,550,545,539,550,558.5,550,555,548,545,525,525,525,515,545,525,525,528,550,555,555,550,565,550,575,575,575,595,600,629.5,629,650,625,625,615,605,599,644,660.5,650,650,670,689,690,665,680,680,655,684,647,678,680,699,700,725,749,725,743,740,750,715,700,715,740,750,755,765,790,795,799,800,780,795,795,775,770,770,786,805,810,825,815,830,802,810,800
"Michigan",8,,,,,,,650,595,595,596,600,600,605,605,625,650,625,625,609,590,550,560,575,599.5,589,595,595,595,575,571,595,595,606,605,575,565,580,599,580,590,579,579.5,569,595,600,600,600,612,625,630,630,630,650,650,650,650,650,675,675,675,650,675,700,700,705,650,650,650,700,739,750,715,700,725,737,725,700,750,764.5,690,775,800,769,749,735,765,800,760,785,775,762,819,825,819,800,795,789,795,800,808.5,802,800,805,825,870,890,870,850,825,846.5,860,869.5,851,860,870,865,895,900
"Georgia",9,1025,995,1000,1000,1050,1000,972.5,850,900,917,905,850,900,895,875,850,850,850,860,880,772.5,760,775,755,799,775,775,795,792,800,832,799,807,802,800,790,775,770,770,790,785,809,805,855,895,855.5,900,955,929,929,938,919,955,929.5,913,957,925,925,950,950,965,967,978,1005,1032,1015,1029.5,1021,1015.5,1110,1115,1119,1110,1143,1129.5,1019.5,1080.5,1064.5,1100,1149,1064,1075,1070,1150,1155,1183,1180,1205,1200,1210,1220.5,1210,1205,1215,1225,1230,1235,1249,1250,1275,1265,1299,1313,1295,1360,1352,1350,1352,1364,1385,1378,1356,1349,1345,1360,1350,1350,1360
"North Carolina",10,,,,,,,,,750,767.5,799,672,650,667,637,650,650,650,676.5,699,675,694,697,700,710,720,714,710,695,696,750,755,751,755,743,730,739,750,764.5,779,750,790,768.5,775,765,725,749,745,749,730.5,749,765,789,760,750,750,760,755.5,779,789,795,800,799,816,825,825,855,862,863.5,935,919,925,958,1025,975,990,991,1035,1020,1024,1005,935,928,998.5,962.5,989,1004.5,1025,1029,1035,1054,1040,1039,1059,1049,1055,1079,1089,1100,1124,1103,1104,1125,1122,1145.5,1167,1171,1154,1165,1154,1159,1170,1160,1179,1183,1191,1189,1193
"New Jersey",11,1372.5,1425,1475,1400,1412.5,1250,1250,1100,1150,1150,1142.5,1200,1195,1150,1200,1250,1290,1295,1227.5,1200,1195,1200,1200,1250,1225,1275,1300,1300,1300,1300,1257.5,1210,1200,1200,1225,1245,1250,1300,1295,1293.5,1295,1300,1275,1250,1250,1300,1300,1300,1295,1300,1325,1350,1310,1400,1425,1500,1600,1450,1346,1350,1395,1350,1350,1350,1365,1350,1375,1380,1350,1425,1425,1495,1550,1542,1500,1500,1495,1500,1400,1475,1450,1450,1450,1450,1450,1505,1550,1585,1570,1575,1595,1600,1595,1550,1550,1595,1600,1600,1625,1675,1734,1700,1700,1700,1750,1775,1801,1774.5,1800,1753.5,1855,1875,1898,1825,1800,1775,1725,1675
"Virginia",12,,,,,,,,,,,,,,,,,,,,1295,1281,1332.5,1290,1295,1300,1375,1390,1430,1414.5,1411,1395,1375,1370,1420,1403,1400,1400,1414,1395,1315,1312,1359,1388,1384,1379,1305,1375,1395,1350,1345,1355,1409,1450,1475,1495,1440,1399,1395,1350,1350,1400,1375,1371,1365,1390,1395,1399,1379,1350,1375,1350,1350,1358,1379,1383,1371,1349,1389,1379,1349,1350,1340,1317,1400,1420,1429,1438.5,1450,1475,1500,1515,1475,1477,1485,1481,1480,1497.5,1480,1500,1512,1525,1531,1545,1513,1537,1509.5,1540,1525,1517.5,1530,1540,1550,1587,1600,1610,1620,1620,1610
